ISP (UTC),Imbalance+ [EUR/MWh],Imbalance- [EUR/MWh],Total Imbalance [MWh]
11.04.2019 11:30 - 11.04.2019 12:00,50.04,55.3,52
11.04.2019 12:00 - 11.04.2019 12:30,46.82,51.74,729
11.04.2019 12:30 - 11.04.2019 13:00,54.21,59.91,14
11.04.2019 13:00 - 11.04.2019 13:30,38.11,42.13,278
11.04.2019 13:30 - 11.04.2019 14:00,37.32,41.24,4
11.04.2019 14:00 - 11.04.2019 14:30,36.67,40.53,388
11.04.2019 14:30 - 11.04.2019 15:00,35.29,39.01,387
11.04.2019 15:00 - 11.04.2019 15:30,36.01,39.81,132
11.04.2019 15:30 - 11.04.2019 16:00,41.72,46.12,93
11.04.2019 16:00 - 11.04.2019 16:30,38.58,42.64,756
11.04.2019 16:30 - 11.04.2019 17:00,40.43,44.69,257
11.04.2019 17:00 - 11.04.2019 17:30,43.99,48.63,295
11.04.2019 17:30 - 11.04.2019 18:00,45.23,49.99,131
11.04.2019 18:00 - 11.04.2019 18:30,45.24,50,187
11.04.2019 18:30 - 11.04.2019 19:00,46.57,51.47,337
11.04.2019 19:00 - 11.04.2019 19:30,39.46,43.62,88
11.04.2019 19:30 - 11.04.2019 20:00,40.57,44.85,609
11.04.2019 20:00 - 11.04.2019 20:30,40.85,45.15,765
11.04.2019 20:30 - 11.04.2019 21:00,54.36,60.08,286
11.04.2019 21:00 - 11.04.2019 21:30,61.37,67.83,290
11.04.2019 21:30 - 11.04.2019 22:00,59.46,65.72,395
11.04.2019 22:00 - 11.04.2019 22:30,48.71,53.83,647
11.04.2019 22:30 - 11.04.2019 23:00,38.62,42.68,174
11.04.2019 23:00 - 11.04.2019 23:30,37.92,41.92,117
11.04.2019 23:30 - 12.04.2019 00:00,35.22,38.92,214
12.04.2019 00:00 - 12.04.2019 00:30,36.05,39.85,256
12.04.2019 00:30 - 12.04.2019 01:00,32.76,36.2,144
12.04.2019 01:00 - 12.04.2019 01:30,35.36,39.08,275
12.04.2019 01:30 - 12.04.2019 02:00,35.36,39.08,122
12.04.2019 02:00 - 12.04.2019 02:30,35.63,39.38,222
12.04.2019 02:30 - 12.04.2019 03:00,35.63,39.38,153
12.04.2019 03:00 - 12.04.2019 03:30,43.23,47.78,156
12.04.2019 03:30 - 12.04.2019 04:00,43.16,47.7,305
12.04.2019 04:00 - 12.04.2019 04:30,42.31,46.77,20
12.04.2019 04:30 - 12.04.2019 05:00,56.31,62.23,767
12.04.2019 05:00 - 12.04.2019 05:30,52.07,57.55,42
12.04.2019 05:30 - 12.04.2019 06:00,64.07,70.81,326
12.04.2019 06:00 - 12.04.2019 06:30,66.42,73.42,292
12.04.2019 06:30 - 12.04.2019 07:00,65.79,72.71,256
12.04.2019 07:00 - 12.04.2019 07:30,55,60.78,714
12.04.2019 07:30 - 12.04.2019 08:00,57.98,64.08,481
12.04.2019 08:00 - 12.04.2019 08:30,58.57,64.73,280
12.04.2019 08:30 - 12.04.2019 09:00,45.69,50.49,300
12.04.2019 09:00 - 12.04.2019 09:30,42.66,47.15,476
12.04.2019 09:30 - 12.04.2019 10:00,39.1,43.22,829
12.04.2019 10:00 - 12.04.2019 10:30,35.44,39.17,853
12.04.2019 10:30 - 12.04.2019 11:00,37.47,41.41,525
12.04.2019 11:00 - 12.04.2019 11:30,37.61,41.57,117
12.04.2019 11:30 - 12.04.2019 12:00,37.95,41.95,507
12.04.2019 12:00 - 12.04.2019 12:30,33.78,37.34,100
12.04.2019 12:30 - 12.04.2019 13:00,34.59,38.23,429
12.04.2019 13:00 - 12.04.2019 13:30,32.58,36,169
12.04.2019 13:30 - 12.04.2019 14:00,32.56,35.98,320
12.04.2019 14:00 - 12.04.2019 14:30,36.64,40.5,224
12.04.2019 14:30 - 12.04.2019 15:00,36.64,40.5,102
12.04.2019 15:00 - 12.04.2019 15:30,39.64,43.82,45
12.04.2019 15:30 - 12.04.2019 16:00,35.98,39.76,31
12.04.2019 16:00 - 12.04.2019 16:30,41.14,45.48,534
12.04.2019 16:30 - 12.04.2019 17:00,43.22,47.76,264
12.04.2019 17:00 - 12.04.2019 17:30,40.37,44.61,334
12.04.2019 17:30 - 12.04.2019 18:00,40.2,44.44,43
12.04.2019 18:00 - 12.04.2019 18:30,42.9,47.42,7
12.04.2019 18:30 - 12.04.2019 19:00,50.37,55.67,144
12.04.2019 19:00 - 12.04.2019 19:30,46.46,51.36,133
12.04.2019 19:30 - 12.04.2019 20:00,43.27,47.83,181
12.04.2019 20:00 - 12.04.2019 20:30,41.18,45.52,780
12.04.2019 20:30 - 12.04.2019 21:00,32.87,36.33,290
12.04.2019 21:00 - 12.04.2019 21:30,34.97,38.65,51
12.04.2019 21:30 - 12.04.2019 22:00,52.42,57.94,315
12.04.2019 22:00 - 12.04.2019 22:30,46.55,51.45,545
12.04.2019 22:30 - 12.04.2019 23:00,42.54,47.02,80
12.04.2019 23:00 - 12.04.2019 23:30,38.1,42.12,3
12.04.2019 23:30 - 13.04.2019 00:00,43.01,47.53,174
13.04.2019 00:00 - 13.04.2019 00:30,47.69,52.71,554
13.04.2019 00:30 - 13.04.2019 01:00,44.59,49.29,75
13.04.2019 01:00 - 13.04.2019 01:30,38.1,42.12,250
13.04.2019 01:30 - 13.04.2019 02:00,38.1,42.12,267
13.04.2019 02:00 - 13.04.2019 02:30,37.48,41.42,266
13.04.2019 02:30 - 13.04.2019 03:00,37.48,41.42,217
13.04.2019 03:00 - 13.04.2019 03:30,59.4,65.66,283
13.04.2019 03:30 - 13.04.2019 04:00,38.88,42.98,81
13.04.2019 04:00 - 13.04.2019 04:30,37.36,41.3,228
13.04.2019 04:30 - 13.04.2019 05:00,41.59,45.97,386
13.04.2019 05:00 - 13.04.2019 05:30,42.85,47.36,645
13.04.2019 05:30 - 13.04.2019 06:00,42.85,47.36,367
13.04.2019 06:00 - 13.04.2019 06:30,44.92,49.64,178
13.04.2019 06:30 - 13.04.2019 07:00,44.92,49.64,210
13.04.2019 07:00 - 13.04.2019 07:30,44.61,49.31,449
13.04.2019 07:30 - 13.04.2019 08:00,49.92,55.18,65
13.04.2019 08:00 - 13.04.2019 08:30,37.35,41.29,336
13.04.2019 08:30 - 13.04.2019 09:00,37.86,41.84,838
13.04.2019 09:00 - 13.04.2019 09:30,33.16,36.65,1089
13.04.2019 09:30 - 13.04.2019 10:00,32.62,36.06,1205
13.04.2019 10:00 - 13.04.2019 10:30,33.02,36.5,1104
13.04.2019 10:30 - 13.04.2019 11:00,29.57,32.69,307
13.04.2019 11:00 - 13.04.2019 11:30,22.24,24.58,357
13.04.2019 11:30 - 13.04.2019 12:00,24.73,27.33,729
13.04.2019 12:00 - 13.04.2019 12:30,26.97,29.81,290
13.04.2019 12:30 - 13.04.2019 13:00,27.82,30.74,552
13.04.2019 13:00 - 13.04.2019 13:30,34.6,38.24,161
13.04.2019 13:30 - 13.04.2019 14:00,28.85,31.89,9
13.04.2019 14:00 - 13.04.2019 14:30,27.96,30.9,344
13.04.2019 14:30 - 13.04.2019 15:00,28.23,31.21,493
13.04.2019 15:00 - 13.04.2019 15:30,33.46,36.98,496
13.04.2019 15:30 - 13.04.2019 16:00,34.3,37.92,279
13.04.2019 16:00 - 13.04.2019 16:30,36.37,40.19,760
13.04.2019 16:30 - 13.04.2019 17:00,35.67,39.43,302
13.04.2019 17:00 - 13.04.2019 17:30,37.86,41.84,437
13.04.2019 17:30 - 13.04.2019 18:00,38.22,42.24,9
13.04.2019 18:00 - 13.04.2019 18:30,43.97,48.59,172
13.04.2019 18:30 - 13.04.2019 19:00,51.85,57.31,282
13.04.2019 19:00 - 13.04.2019 19:30,52.8,58.36,337
13.04.2019 19:30 - 13.04.2019 20:00,42.29,46.75,41
13.04.2019 20:00 - 13.04.2019 20:30,43.23,47.78,373
13.04.2019 20:30 - 13.04.2019 21:00,48.41,53.51,174
13.04.2019 21:00 - 13.04.2019 21:30,45.3,50.06,350
13.04.2019 21:30 - 13.04.2019 22:00,45.3,50.06,117
13.04.2019 22:00 - 13.04.2019 22:30,55.14,60.94,140
13.04.2019 22:30 - 13.04.2019 23:00,30.27,33.45,461
13.04.2019 23:00 - 13.04.2019 23:30,29.38,32.48,130
13.04.2019 23:30 - 14.04.2019 00:00,29.17,32.25,267
14.04.2019 00:00 - 14.04.2019 00:30,43.34,47.9,36
14.04.2019 00:30 - 14.04.2019 01:00,28.98,32.04,20
14.04.2019 01:00 - 14.04.2019 01:30,40.94,45.24,210
14.04.2019 01:30 - 14.04.2019 02:00,40.94,45.24,127
14.04.2019 02:00 - 14.04.2019 02:30,35.37,39.09,156
14.04.2019 02:30 - 14.04.2019 03:00,34.22,37.82,10
14.04.2019 03:00 - 14.04.2019 03:30,56.58,62.54,102
14.04.2019 03:30 - 14.04.2019 04:00,44.74,49.44,64
14.04.2019 04:00 - 14.04.2019 04:30,31.29,34.59,60
14.04.2019 04:30 - 14.04.2019 05:00,35.49,39.23,58
14.04.2019 05:00 - 14.04.2019 05:30,36.27,40.09,9
14.04.2019 05:30 - 14.04.2019 06:00,38.82,42.9,180
14.04.2019 06:00 - 14.04.2019 06:30,31.87,35.23,90
14.04.2019 06:30 - 14.04.2019 07:00,36.16,39.96,59
14.04.2019 07:00 - 14.04.2019 07:30,37.77,41.75,89
14.04.2019 07:30 - 14.04.2019 08:00,37.77,41.75,93
14.04.2019 08:00 - 14.04.2019 08:30,35.25,38.96,169
14.04.2019 08:30 - 14.04.2019 09:00,35.25,38.96,183
14.04.2019 09:00 - 14.04.2019 09:30,34.17,37.77,272
14.04.2019 09:30 - 14.04.2019 10:00,34.07,37.65,438
14.04.2019 10:00 - 14.04.2019 10:30,27.45,30.33,11
14.04.2019 10:30 - 14.04.2019 11:00,46.3,51.18,314
14.04.2019 11:00 - 14.04.2019 11:30,26.96,29.8,99
14.04.2019 11:30 - 14.04.2019 12:00,27.39,30.27,594
14.04.2019 12:00 - 14.04.2019 12:30,26.21,28.97,127
14.04.2019 12:30 - 14.04.2019 13:00,24.91,27.53,480
14.04.2019 13:00 - 14.04.2019 13:30,24.09,26.63,373
14.04.2019 13:30 - 14.04.2019 14:00,24.11,26.65,744
14.04.2019 14:00 - 14.04.2019 14:30,23.08,25.5,230
14.04.2019 14:30 - 14.04.2019 15:00,23.08,25.5,233
14.04.2019 15:00 - 14.04.2019 15:30,23.66,26.15,298
14.04.2019 15:30 - 14.04.2019 16:00,28.83,31.87,200
14.04.2019 16:00 - 14.04.2019 16:30,40.49,44.75,509
14.04.2019 16:30 - 14.04.2019 17:00,33.71,37.25,212
14.04.2019 17:00 - 14.04.2019 17:30,36.84,40.72,58
14.04.2019 17:30 - 14.04.2019 18:00,44.81,49.53,376
14.04.2019 18:00 - 14.04.2019 18:30,47.46,52.46,148
14.04.2019 18:30 - 14.04.2019 19:00,48.06,53.12,428
14.04.2019 19:00 - 14.04.2019 19:30,53.03,58.61,645
14.04.2019 19:30 - 14.04.2019 20:00,53.01,58.59,434
14.04.2019 20:00 - 14.04.2019 20:30,51.48,56.9,97
14.04.2019 20:30 - 14.04.2019 21:00,54.79,60.55,498
14.04.2019 21:00 - 14.04.2019 21:30,48.78,53.92,10
14.04.2019 21:30 - 14.04.2019 22:00,51.02,56.4,151
14.04.2019 22:00 - 14.04.2019 22:30,50.73,56.07,572
14.04.2019 22:30 - 14.04.2019 23:00,51.27,56.67,85
14.04.2019 23:00 - 14.04.2019 23:30,57.33,63.37,227
14.04.2019 23:30 - 15.04.2019 00:00,40.82,45.12,77
15.04.2019 00:00 - 15.04.2019 00:30,38.96,43.06,288
15.04.2019 00:30 - 15.04.2019 01:00,38.96,43.06,94
15.04.2019 01:00 - 15.04.2019 01:30,36.96,40.85,138
15.04.2019 01:30 - 15.04.2019 02:00,36.96,40.85,422
15.04.2019 02:00 - 15.04.2019 02:30,36.09,39.89,228
15.04.2019 02:30 - 15.04.2019 03:00,36.09,39.89,243
15.04.2019 03:00 - 15.04.2019 03:30,40.47,44.73,95
15.04.2019 03:30 - 15.04.2019 04:00,40.47,44.73,24
15.04.2019 04:00 - 15.04.2019 04:30,40.94,45.24,661
15.04.2019 04:30 - 15.04.2019 05:00,42.43,46.89,63
15.04.2019 05:00 - 15.04.2019 05:30,52.29,57.79,467
15.04.2019 05:30 - 15.04.2019 06:00,56.22,62.14,99
15.04.2019 06:00 - 15.04.2019 06:30,48.03,53.09,74
15.04.2019 06:30 - 15.04.2019 07:00,44.92,49.64,95
15.04.2019 07:00 - 15.04.2019 07:30,55.91,61.79,642
15.04.2019 07:30 - 15.04.2019 08:00,55.35,61.17,91
15.04.2019 08:00 - 15.04.2019 08:30,41.52,45.89,85
15.04.2019 08:30 - 15.04.2019 09:00,37.39,41.33,357
15.04.2019 09:00 - 15.04.2019 09:30,33.39,36.91,174
15.04.2019 09:30 - 15.04.2019 10:00,32.87,36.33,294
15.04.2019 10:00 - 15.04.2019 10:30,46.48,51.38,141
15.04.2019 10:30 - 15.04.2019 11:00,39.99,44.19,285
15.04.2019 11:00 - 15.04.2019 11:30,29.9,33.04,187
15.04.2019 11:30 - 15.04.2019 12:00,29.91,33.05,194
15.04.2019 12:00 - 15.04.2019 12:30,38.78,42.86,256
15.04.2019 12:30 - 15.04.2019 13:00,28.58,31.58,215
15.04.2019 13:00 - 15.04.2019 13:30,35.64,39.4,86
15.04.2019 13:30 - 15.04.2019 14:00,35.64,39.4,129
15.04.2019 14:00 - 15.04.2019 14:30,26.22,28.98,48
15.04.2019 14:30 - 15.04.2019 15:00,26.42,29.2,116
15.04.2019 15:00 - 15.04.2019 15:30,37.25,41.17,7
15.04.2019 15:30 - 15.04.2019 16:00,37.7,41.66,213
15.04.2019 16:00 - 15.04.2019 16:30,33.58,37.12,155
15.04.2019 16:30 - 15.04.2019 17:00,47.85,52.89,602
15.04.2019 17:00 - 15.04.2019 17:30,51.75,57.19,833
15.04.2019 17:30 - 15.04.2019 18:00,51.13,56.51,986
15.04.2019 18:00 - 15.04.2019 18:30,59.41,65.67,479
15.04.2019 18:30 - 15.04.2019 19:00,60.83,67.23,162
15.04.2019 19:00 - 15.04.2019 19:30,47.33,52.31,169
15.04.2019 19:30 - 15.04.2019 20:00,40.59,44.87,376
15.04.2019 20:00 - 15.04.2019 20:30,38.16,42.18,368
15.04.2019 20:30 - 15.04.2019 21:00,39.62,43.79,109
15.04.2019 21:00 - 15.04.2019 21:30,51,56.36,55
15.04.2019 21:30 - 15.04.2019 22:00,48.16,53.22,14
15.04.2019 22:00 - 15.04.2019 22:30,48.92,54.06,328
15.04.2019 22:30 - 15.04.2019 23:00,36.34,40.16,430
15.04.2019 23:00 - 15.04.2019 23:30,38.58,42.64,172
15.04.2019 23:30 - 16.04.2019 00:00,37.15,41.07,124
16.04.2019 00:00 - 16.04.2019 00:30,34.83,38.49,4
16.04.2019 00:30 - 16.04.2019 01:00,34.69,38.35,346
16.04.2019 01:00 - 16.04.2019 01:30,36.78,40.66,108
16.04.2019 01:30 - 16.04.2019 02:00,36.12,39.92,422
16.04.2019 02:00 - 16.04.2019 02:30,34.84,38.5,627
16.04.2019 02:30 - 16.04.2019 03:00,35.21,38.91,398
16.04.2019 03:00 - 16.04.2019 03:30,36.53,40.37,462
16.04.2019 03:30 - 16.04.2019 04:00,31.31,34.61,114
16.04.2019 04:00 - 16.04.2019 04:30,47.53,52.53,654
16.04.2019 04:30 - 16.04.2019 05:00,59.4,65.66,65
16.04.2019 05:00 - 16.04.2019 05:30,61.64,68.12,560
16.04.2019 05:30 - 16.04.2019 06:00,60.01,66.33,556
16.04.2019 06:00 - 16.04.2019 06:30,66.62,73.64,487
16.04.2019 06:30 - 16.04.2019 07:00,58.86,65.06,606
16.04.2019 07:00 - 16.04.2019 07:30,43.47,48.05,318
16.04.2019 07:30 - 16.04.2019 08:00,38.8,42.88,439
16.04.2019 08:00 - 16.04.2019 08:30,44.74,49.44,77
16.04.2019 08:30 - 16.04.2019 09:00,45.41,50.19,153
16.04.2019 09:00 - 16.04.2019 09:30,47.64,52.66,128
16.04.2019 09:30 - 16.04.2019 10:00,47.64,52.66,165
16.04.2019 10:00 - 16.04.2019 10:30,55.79,61.67,497
16.04.2019 10:30 - 16.04.2019 11:00,52.68,58.22,822
16.04.2019 11:00 - 16.04.2019 11:30,46.42,51.3,599
16.04.2019 11:30 - 16.04.2019 12:00,47.27,52.25,531
16.04.2019 12:00 - 16.04.2019 12:30,45.02,49.76,696
16.04.2019 12:30 - 16.04.2019 13:00,49.03,54.19,184
16.04.2019 13:00 - 16.04.2019 13:30,45.55,50.35,438
16.04.2019 13:30 - 16.04.2019 14:00,45.15,49.91,157
16.04.2019 14:00 - 16.04.2019 14:30,41.05,45.37,421
16.04.2019 14:30 - 16.04.2019 15:00,42.54,47.02,259
16.04.2019 15:00 - 16.04.2019 15:30,46.82,51.74,79
16.04.2019 15:30 - 16.04.2019 16:00,44.55,49.23,326
16.04.2019 16:00 - 16.04.2019 16:30,48.34,53.42,198
16.04.2019 16:30 - 16.04.2019 17:00,48.12,53.18,416
16.04.2019 17:00 - 16.04.2019 17:30,54.23,59.93,385
16.04.2019 17:30 - 16.04.2019 18:00,53.8,59.46,506
16.04.2019 18:00 - 16.04.2019 18:30,58.74,64.92,723
16.04.2019 18:30 - 16.04.2019 19:00,61.94,68.46,499
16.04.2019 19:00 - 16.04.2019 19:30,51.2,56.58,508
16.04.2019 19:30 - 16.04.2019 20:00,41.43,45.79,181
16.04.2019 20:00 - 16.04.2019 20:30,46.71,51.63,593
16.04.2019 20:30 - 16.04.2019 21:00,53.82,59.48,217
16.04.2019 21:00 - 16.04.2019 21:30,45.47,50.25,49
16.04.2019 21:30 - 16.04.2019 22:00,47.79,52.83,154
16.04.2019 22:00 - 16.04.2019 22:30,51.75,57.19,729
16.04.2019 22:30 - 16.04.2019 23:00,44.55,49.23,287
16.04.2019 23:00 - 16.04.2019 23:30,45.99,50.83,219
16.04.2019 23:30 - 17.04.2019 00:00,46.42,51.3,121
17.04.2019 00:00 - 17.04.2019 00:30,33.27,36.77,798
17.04.2019 00:30 - 17.04.2019 01:00,34.92,38.6,269
17.04.2019 01:00 - 17.04.2019 01:30,33.27,36.77,547
17.04.2019 01:30 - 17.04.2019 02:00,33.27,36.77,315
17.04.2019 02:00 - 17.04.2019 02:30,33.59,37.13,361
17.04.2019 02:30 - 17.04.2019 03:00,33.59,37.13,434
17.04.2019 03:00 - 17.04.2019 03:30,58.66,64.84,226
17.04.2019 03:30 - 17.04.2019 04:00,56.46,62.4,646
17.04.2019 04:00 - 17.04.2019 04:30,66,72.94,148
17.04.2019 04:30 - 17.04.2019 05:00,63.95,70.69,548
17.04.2019 05:00 - 17.04.2019 05:30,53.25,58.85,69
17.04.2019 05:30 - 17.04.2019 06:00,56.85,62.83,262
17.04.2019 06:00 - 17.04.2019 06:30,47.08,52.04,43
17.04.2019 06:30 - 17.04.2019 07:00,49.62,54.84,107
17.04.2019 07:00 - 17.04.2019 07:30,64.3,71.06,234
17.04.2019 07:30 - 17.04.2019 08:00,47.88,52.92,212
17.04.2019 08:00 - 17.04.2019 08:30,56.8,62.78,298
17.04.2019 08:30 - 17.04.2019 09:00,56.87,62.85,86
17.04.2019 09:00 - 17.04.2019 09:30,48.95,54.11,259
17.04.2019 09:30 - 17.04.2019 10:00,48.68,53.8,141
17.04.2019 10:00 - 17.04.2019 10:30,39.07,43.19,102
17.04.2019 10:30 - 17.04.2019 11:00,41.67,46.05,284
17.04.2019 11:00 - 17.04.2019 11:30,39.23,43.35,213
17.04.2019 11:30 - 17.04.2019 12:00,38.07,42.07,193
17.04.2019 12:00 - 17.04.2019 12:30,40.89,45.19,305
17.04.2019 12:30 - 17.04.2019 13:00,34.31,37.93,194
17.04.2019 13:00 - 17.04.2019 13:30,33.3,36.8,286
17.04.2019 13:30 - 17.04.2019 14:00,33.3,36.8,60
17.04.2019 14:00 - 17.04.2019 14:30,33.72,37.26,241
17.04.2019 14:30 - 17.04.2019 15:00,33.72,37.26,68
17.04.2019 15:00 - 17.04.2019 15:30,36.79,40.67,165
17.04.2019 15:30 - 17.04.2019 16:00,37.81,41.79,307
17.04.2019 16:00 - 17.04.2019 16:30,43.79,48.39,434
17.04.2019 16:30 - 17.04.2019 17:00,43.79,48.39,62
17.04.2019 17:00 - 17.04.2019 17:30,40.88,45.18,154
17.04.2019 17:30 - 17.04.2019 18:00,45.22,49.98,69
17.04.2019 18:00 - 17.04.2019 18:30,48.29,53.37,113
17.04.2019 18:30 - 17.04.2019 19:00,45.69,50.49,194
17.04.2019 19:00 - 17.04.2019 19:30,34.68,38.33,11
17.04.2019 19:30 - 17.04.2019 20:00,38.57,42.63,700
17.04.2019 20:00 - 17.04.2019 20:30,34.01,37.59,1028
17.04.2019 20:30 - 17.04.2019 21:00,29.2,32.28,498
17.04.2019 21:00 - 17.04.2019 21:30,31.81,35.15,610
17.04.2019 21:30 - 17.04.2019 22:00,30.5,33.71,484
17.04.2019 22:00 - 17.04.2019 22:30,23.7,26.2,93
17.04.2019 22:30 - 17.04.2019 23:00,30.55,33.77,708
17.04.2019 23:00 - 17.04.2019 23:30,26.2,28.96,134
17.04.2019 23:30 - 18.04.2019 00:00,32.74,36.18,173
18.04.2019 00:00 - 18.04.2019 00:30,40.6,44.88,509
18.04.2019 00:30 - 18.04.2019 01:00,40.61,44.89,160
18.04.2019 01:00 - 18.04.2019 01:30,42.05,46.47,400
18.04.2019 01:30 - 18.04.2019 02:00,47.14,52.1,92
18.04.2019 02:00 - 18.04.2019 02:30,36.26,40.08,71
18.04.2019 02:30 - 18.04.2019 03:00,33.31,36.81,329
18.04.2019 03:00 - 18.04.2019 03:30,34.22,37.82,381
18.04.2019 03:30 - 18.04.2019 04:00,26.76,29.58,357
18.04.2019 04:00 - 18.04.2019 04:30,29.54,32.64,584
18.04.2019 04:30 - 18.04.2019 05:00,33,36.48,170
18.04.2019 05:00 - 18.04.2019 05:30,41.52,45.89,844
18.04.2019 05:30 - 18.04.2019 06:00,43.89,48.51,704
18.04.2019 06:00 - 18.04.2019 06:30,53.38,59,330
18.04.2019 06:30 - 18.04.2019 07:00,53.38,59,98
18.04.2019 07:00 - 18.04.2019 07:30,48.91,54.05,617
18.04.2019 07:30 - 18.04.2019 08:00,50.04,55.3,371
18.04.2019 08:00 - 18.04.2019 08:30,49.91,55.17,656
18.04.2019 08:30 - 18.04.2019 09:00,49.54,54.76,262
18.04.2019 09:00 - 18.04.2019 09:30,43.08,47.62,299
18.04.2019 09:30 - 18.04.2019 10:00,47.74,52.76,90
18.04.2019 10:00 - 18.04.2019 10:30,34.28,37.88,344
18.04.2019 10:30 - 18.04.2019 11:00,37.81,41.79,37
18.04.2019 11:00 - 18.04.2019 11:30,30.55,33.77,225
18.04.2019 11:30 - 18.04.2019 12:00,29.61,32.73,243
18.04.2019 12:00 - 18.04.2019 12:30,38.08,42.08,204
18.04.2019 12:30 - 18.04.2019 13:00,36.26,40.08,8
18.04.2019 13:00 - 18.04.2019 13:30,29.62,32.74,13
18.04.2019 13:30 - 18.04.2019 14:00,29.98,33.14,178
18.04.2019 14:00 - 18.04.2019 14:30,12.55,13.87,5
18.04.2019 14:30 - 18.04.2019 15:00,11.43,12.63,147
18.04.2019 15:00 - 18.04.2019 15:30,28.17,31.13,63
18.04.2019 15:30 - 18.04.2019 16:00,37.43,41.37,513
18.04.2019 16:00 - 18.04.2019 16:30,32.81,36.27,80
18.04.2019 16:30 - 18.04.2019 17:00,42.84,47.34,535
18.04.2019 17:00 - 18.04.2019 17:30,49.47,54.67,1237
18.04.2019 17:30 - 18.04.2019 18:00,49.55,54.77,1357
18.04.2019 18:00 - 18.04.2019 18:30,54,59.68,1252
18.04.2019 18:30 - 18.04.2019 19:00,54.29,60.01,841
18.04.2019 19:00 - 18.04.2019 19:30,33.17,36.67,195
18.04.2019 19:30 - 18.04.2019 20:00,34.86,38.52,61
18.04.2019 20:00 - 18.04.2019 20:30,41.48,45.84,229
18.04.2019 20:30 - 18.04.2019 21:00,30.21,33.39,238
18.04.2019 21:00 - 18.04.2019 21:30,39.32,43.46,235
18.04.2019 21:30 - 18.04.2019 22:00,36.63,40.49,80
18.04.2019 22:00 - 18.04.2019 22:30,31.9,35.26,136
18.04.2019 22:30 - 18.04.2019 23:00,34.87,38.54,304
18.04.2019 23:00 - 18.04.2019 23:30,32.57,35.99,175
18.04.2019 23:30 - 19.04.2019 00:00,43.67,48.27,156
19.04.2019 00:00 - 19.04.2019 00:30,42.81,47.31,793
19.04.2019 00:30 - 19.04.2019 01:00,53.41,59.03,324
19.04.2019 01:00 - 19.04.2019 01:30,40.83,45.13,417
19.04.2019 01:30 - 19.04.2019 02:00,29.97,33.13,143
19.04.2019 02:00 - 19.04.2019 02:30,30.47,33.67,419
19.04.2019 02:30 - 19.04.2019 03:00,28.64,31.66,54
19.04.2019 03:00 - 19.04.2019 03:30,30.84,34.08,553
19.04.2019 03:30 - 19.04.2019 04:00,28.68,31.7,837
19.04.2019 04:00 - 19.04.2019 04:30,29.68,32.8,1048
19.04.2019 04:30 - 19.04.2019 05:00,29.1,32.16,803
19.04.2019 05:00 - 19.04.2019 05:30,30.46,33.66,1152
19.04.2019 05:30 - 19.04.2019 06:00,30.93,34.19,766
19.04.2019 06:00 - 19.04.2019 06:30,30.31,33.5,893
19.04.2019 06:30 - 19.04.2019 07:00,27.19,30.05,523
19.04.2019 07:00 - 19.04.2019 07:30,45.07,49.81,224
19.04.2019 07:30 - 19.04.2019 08:00,27.9,30.84,2
19.04.2019 08:00 - 19.04.2019 08:30,53.18,58.78,444
19.04.2019 08:30 - 19.04.2019 09:00,30.46,33.66,183
19.04.2019 09:00 - 19.04.2019 09:30,34.68,38.34,223
19.04.2019 09:30 - 19.04.2019 10:00,29.34,32.42,5
19.04.2019 10:00 - 19.04.2019 10:30,14.05,15.53,456
19.04.2019 10:30 - 19.04.2019 11:00,7.78,8.6,416
19.04.2019 11:00 - 19.04.2019 11:30,13.01,14.37,642
19.04.2019 11:30 - 19.04.2019 12:00,12.31,13.61,923
19.04.2019 12:00 - 19.04.2019 12:30,6.32,6.98,509
19.04.2019 12:30 - 19.04.2019 13:00,10.47,11.57,759
19.04.2019 13:00 - 19.04.2019 13:30,8.69,9.61,146
19.04.2019 13:30 - 19.04.2019 14:00,9.6,10.61,494
19.04.2019 14:00 - 19.04.2019 14:30,35.64,39.4,403
19.04.2019 14:30 - 19.04.2019 15:00,35.53,39.27,408
19.04.2019 15:00 - 19.04.2019 15:30,42.34,46.8,525
19.04.2019 15:30 - 19.04.2019 16:00,40.83,45.13,707
19.04.2019 16:00 - 19.04.2019 16:30,50.55,55.87,306
19.04.2019 16:30 - 19.04.2019 17:00,50.92,56.28,574
19.04.2019 17:00 - 19.04.2019 17:30,47.37,52.35,15
19.04.2019 17:30 - 19.04.2019 18:00,46.04,50.88,140
19.04.2019 18:00 - 19.04.2019 18:30,37.89,41.87,353
19.04.2019 18:30 - 19.04.2019 19:00,37.02,40.92,404
19.04.2019 19:00 - 19.04.2019 19:30,31.35,34.65,195
19.04.2019 19:30 - 19.04.2019 20:00,31,34.26,438
19.04.2019 20:00 - 19.04.2019 20:30,38.86,42.96,1053
19.04.2019 20:30 - 19.04.2019 21:00,33.94,37.52,293
19.04.2019 21:00 - 19.04.2019 21:30,37.16,41.08,551
19.04.2019 21:30 - 19.04.2019 22:00,35.04,38.72,232
19.04.2019 22:00 - 19.04.2019 22:30,39.29,43.43,413
19.04.2019 22:30 - 19.04.2019 23:00,33.71,37.25,598
19.04.2019 23:00 - 19.04.2019 23:30,40.12,44.34,394
19.04.2019 23:30 - 20.04.2019 00:00,43.07,47.61,178
20.04.2019 00:00 - 20.04.2019 00:30,36,39.78,184
