Date,State of charge
2012-01-01 11:43:00,100
2012-01-01 12:01:00,79
2012-01-01 12:03:00,79
2012-01-01 12:23:00,62
2012-01-01 12:25:00,62
2012-01-01 12:29:00,60
2012-01-02 09:27:00,60
2012-01-02 09:32:00,56
2012-01-02 09:46:00,56
2012-01-02 09:53:00,51
2012-01-02 10:06:00,51
2012-01-02 10:12:00,49
2012-01-02 10:36:00,49
2012-01-02 10:43:00,47
2012-01-02 10:58:00,47
2012-01-02 11:04:00,44
2012-01-02 12:44:00,44
2012-01-02 12:49:00,41
2012-01-02 12:55:00,41
2012-01-02 13:02:00,38
2012-01-03 07:25:00,38
2012-01-03 07:39:00,26
2012-01-03 13:12:00,25
2012-01-03 13:31:00,11
2012-01-03 13:32:00,11
2012-01-03 16:36:00,64
2012-01-03 16:38:00,64
2012-01-03 16:44:00,59
2012-01-03 20:09:00,58
2012-01-03 20:15:00,54
2012-01-04 07:24:00,54
2012-01-04 07:31:00,49
2012-01-04 15:01:00,49
2012-01-04 15:10:00,41
2012-01-04 18:30:00,41
2012-01-04 18:35:00,39
2012-01-04 21:18:00,39
2012-01-04 21:26:00,37
2012-01-05 07:19:00,100
2012-01-05 07:57:00,85
2012-01-05 14:35:00,85
2012-01-05 15:03:00,70
2012-01-05 19:43:00,70
2012-01-05 19:48:00,65
2012-01-05 21:28:00,37
2012-01-05 21:46:00,64
2012-01-05 21:53:00,59
2012-01-06 02:17:00,100
2012-01-06 15:10:00,46
2012-01-06 15:21:00,34
2012-01-06 15:41:00,34
2012-01-06 15:48:00,31
2012-01-06 19:12:00,29
2012-01-06 19:17:00,24
2012-01-06 20:36:00,24
2012-01-06 20:46:00,18
2012-01-07 00:18:00,70
2012-01-07 00:23:00,66
2012-01-07 09:12:00,100
2012-01-07 09:18:00,95
2012-01-07 09:52:00,93
2012-01-07 09:56:00,89
2012-01-07 10:15:00,89
2012-01-07 10:20:00,85
2012-01-07 10:28:00,85
2012-01-07 10:30:00,84
2012-01-07 16:51:00,84
2012-01-07 17:00:00,75
2012-01-07 20:47:00,18
2012-01-08 02:46:00,100
2012-01-08 16:49:00,66
2012-01-08 16:55:00,62
2012-01-08 16:56:00,62
2012-01-08 18:59:00,84
2012-01-08 19:01:00,83
2012-01-08 19:07:00,79
2012-01-09 07:25:00,79
2012-01-09 07:36:00,69
2012-01-09 15:20:00,69
2012-01-09 15:31:00,62
2012-01-09 15:56:00,62
2012-01-09 16:03:00,59
2012-01-09 16:36:00,59
2012-01-09 16:39:00,57
2012-01-09 16:46:00,57
2012-01-09 16:51:00,56
2012-01-09 20:05:00,56
2012-01-09 20:12:00,53
2012-01-09 21:48:00,53
2012-01-09 21:55:00,47
2012-01-10 07:25:00,99
2012-01-10 07:30:00,94
2012-01-10 15:17:00,94
2012-01-10 15:22:00,90
2012-01-10 16:42:00,90
2012-01-10 16:47:00,86
2012-01-10 20:05:00,85
2012-01-10 20:11:00,81
2012-01-10 21:55:00,47
2012-01-11 02:10:00,100
2012-01-11 09:35:00,81
2012-01-11 09:43:00,74
2012-01-11 13:01:00,74
2012-01-11 13:12:00,67
2012-01-11 15:13:00,66
2012-01-11 15:19:00,64
2012-01-11 15:39:00,64
2012-01-11 15:46:00,61
2012-01-11 16:25:00,61
2012-01-11 16:30:00,59
2012-01-11 17:00:00,59
2012-01-11 17:06:00,57
2012-01-11 18:30:00,57
2012-01-11 18:38:00,50
2012-01-11 21:14:00,50
2012-01-11 21:22:00,44
2012-01-12 09:20:00,44
2012-01-12 09:28:00,37
2012-01-12 14:41:00,37
2012-01-12 14:50:00,31
2012-01-12 15:36:00,31
2012-01-12 15:41:00,28
2012-01-12 15:58:00,28
2012-01-12 16:06:00,25
2012-01-12 16:06:00,25
2012-01-12 21:30:00,100
2012-01-13 07:24:00,99
2012-01-13 07:31:00,92
2012-01-13 14:40:00,86
2012-01-13 14:46:00,82
2012-01-13 15:10:00,82
2012-01-13 15:17:00,79
