Date,State of charge
2012-01-23 12:59:00,79
2012-01-23 12:59:00,79
2012-01-23 13:32:00,78
2012-01-23 13:39:00,73
2012-01-23 13:46:00,73
2012-01-23 13:47:00,73
2012-01-23 17:27:00,71
2012-01-23 17:38:00,65
2012-01-23 17:43:00,65
2012-01-23 17:46:00,63
2012-01-23 17:59:00,63
2012-01-23 18:03:00,60
2012-01-24 08:30:00,60
2012-01-24 08:32:00,58
2012-01-24 08:34:00,58
2012-01-24 12:43:00,100
2012-01-24 17:34:00,100
2012-01-24 17:38:00,97
2012-01-24 17:52:00,97
2012-01-24 18:01:00,90
2012-01-25 11:27:00,84
2012-01-25 11:39:00,75
2012-01-25 11:46:00,75
2012-01-25 11:59:00,65
2012-01-25 13:20:00,65
2012-01-25 13:27:00,60
2012-01-25 13:27:00,60
2012-01-25 17:17:00,100
2012-01-26 10:25:00,93
2012-01-26 10:30:00,91
2012-01-26 10:35:00,91
2012-01-26 10:51:00,77
2012-01-26 11:19:00,77
2012-01-26 11:33:00,65
2012-01-26 11:33:00,65
2012-01-26 11:35:00,66
2012-01-26 11:37:00,66
2012-01-26 13:09:00,91
2012-01-26 13:10:00,91
2012-01-26 13:14:00,88
2012-01-26 13:57:00,88
2012-01-26 14:12:00,82
2012-01-27 09:51:00,73
2012-01-27 09:55:00,71
2012-01-27 10:03:00,71
2012-01-27 10:07:00,69
2012-01-27 12:07:00,68
2012-01-27 12:13:00,63
2012-01-27 13:32:00,63
2012-01-27 13:38:00,60
2012-01-27 14:19:00,59
2012-01-27 14:24:00,57
2012-01-27 14:41:00,57
2012-01-27 14:46:00,53
2012-01-27 14:51:00,53
2012-01-27 17:03:00,93
2012-01-28 09:31:00,77
2012-01-28 09:46:00,60
2012-01-28 10:05:00,58
2012-01-28 10:23:00,39
2012-01-28 10:23:00,39
2012-01-28 15:06:00,100
2012-01-28 15:23:00,94
2012-01-28 15:40:00,79
2012-01-28 16:27:00,79
2012-01-28 16:49:00,58
2012-01-28 16:49:00,58
2012-01-28 17:33:00,71
2012-01-29 11:51:00,64
2012-01-29 11:57:00,61
2012-01-29 13:44:00,61
2012-01-29 13:52:00,54
2012-01-29 16:46:00,54
2012-01-29 16:52:00,50
2012-01-29 17:00:00,50
2012-01-29 18:26:00,74
2012-01-29 18:39:00,74
2012-01-29 18:49:00,77
2012-01-29 19:25:00,77
2012-01-29 19:28:00,78
2012-01-30 08:55:00,78
2012-01-30 09:00:00,74
2012-01-30 09:47:00,74
2012-01-30 09:50:00,72
2012-01-30 09:54:00,72
2012-01-30 10:03:00,67
2012-01-30 10:03:00,67
2012-01-30 10:47:00,80
2012-01-30 12:14:00,80
2012-01-30 13:07:00,93
2012-01-30 13:37:00,93
2012-01-30 13:43:00,88
2012-01-30 14:25:00,88
2012-01-30 14:31:00,84
2012-01-30 14:31:00,84
2012-01-30 15:14:00,94
2012-01-30 18:14:00,94
2012-01-30 18:19:00,89
2012-01-30 21:27:00,84
2012-01-30 21:35:00,78
2012-01-30 21:35:00,78
2012-01-30 22:36:00,94
2012-01-31 19:50:00,85
2012-01-31 19:54:00,82
2012-02-01 14:51:00,82
2012-02-01 14:57:00,77
2012-02-01 15:19:00,77
2012-02-01 15:26:00,72
2012-02-01 15:26:00,72
2012-02-01 16:38:00,90
2012-02-02 11:41:00,85
2012-02-02 11:51:00,74
2012-02-02 12:13:00,74
2012-02-02 12:20:00,69
2012-02-02 12:43:00,69
2012-02-02 12:56:00,63
2012-02-02 14:14:00,63
2012-02-02 14:19:00,58
2012-02-02 15:40:00,58
2012-02-02 15:47:00,53
2012-02-02 15:47:00,53
2012-02-02 20:02:00,100
2012-02-03 10:28:00,88
2012-02-03 10:34:00,83
2012-02-03 10:37:00,83
2012-02-03 10:50:00,66
2012-02-03 11:26:00,66
2012-02-03 11:38:00,56
2012-02-03 12:20:00,56
2012-02-03 12:30:00,51
2012-02-03 12:30:00,51
2012-02-03 13:21:00,67
2012-02-03 13:21:00,67
2012-02-03 13:26:00,61
2012-02-03 16:08:00,61
2012-02-03 16:17:00,53
2012-02-03 16:17:00,53
2012-02-03 18:41:00,94
2012-02-03 18:54:00,87
2012-02-03 19:04:00,77
2012-02-03 22:59:00,77
2012-02-03 23:09:00,64
2012-02-04 23:09:00,64
2012-02-05 03:17:00,100
2012-02-05 10:58:00,84
2012-02-05 11:01:00,82
2012-02-05 11:17:00,82
2012-02-05 11:23:00,77
2012-02-05 11:25:00,77
2012-02-05 13:43:00,99
2012-02-06 13:30:00,91
2012-02-06 13:35:00,88
2012-02-06 14:22:00,88
2012-02-06 14:26:00,86
2012-02-06 14:32:00,86
2012-02-06 14:40:00,80
2012-02-06 14:40:00,80
2012-02-06 16:44:00,98
2012-02-07 12:33:00,98
2012-02-07 12:57:00,75
2012-02-07 13:00:00,75
2012-02-07 13:21:00,55
2012-02-07 16:02:00,54
2012-02-07 16:06:00,51
2012-02-07 16:06:00,51
2012-02-07 20:18:00,100
2012-02-08 12:44:00,100
2012-02-08 12:48:00,96
2012-02-08 13:52:00,91
2012-02-08 13:57:00,86
2012-02-08 14:52:00,86
2012-02-08 14:57:00,82
2012-02-09 14:13:00,82
2012-02-09 14:17:00,78
2012-02-09 15:33:00,78
2012-02-09 15:40:00,73
2012-02-09 15:40:00,73
2012-02-09 18:24:00,96
2012-02-10 13:14:00,96
2012-02-10 13:27:00,80
2012-02-10 14:05:00,80
2012-02-10 14:37:00,68
2012-02-10 14:37:00,68
