Date,State of charge
2012-01-18 11:37:00,58
2012-01-18 11:39:00,57
2012-01-18 13:55:00,57
2012-01-18 14:00:00,55
2012-01-18 16:27:00,55
2012-01-18 16:31:00,54
2012-01-18 16:36:00,54
2012-01-18 16:42:00,50
2012-01-18 17:31:00,50
2012-01-18 17:41:00,44
2012-01-18 17:45:00,44
2012-01-18 17:49:00,42
2012-01-18 18:00:00,41
2012-01-18 18:05:00,39
2012-01-18 18:26:00,38
2012-01-18 18:39:00,30
2012-01-18 18:55:00,30
2012-01-18 18:56:00,30
2012-01-18 19:04:00,30
2012-01-18 19:05:00,30
2012-01-18 19:07:00,30
2012-01-18 19:09:00,30
2012-01-18 19:18:00,30
2012-01-18 19:19:00,30
2012-01-18 19:22:00,30
2012-01-19 00:37:00,100
2012-01-19 07:30:00,100
2012-01-19 07:45:00,92
2012-01-19 13:28:00,92
2012-01-19 13:34:00,90
2012-01-19 13:38:00,90
2012-01-19 13:50:00,89
2012-01-19 16:16:00,89
2012-01-19 16:26:00,86
2012-01-19 16:39:00,86
2012-01-19 16:43:00,85
2012-01-19 17:36:00,68
2012-01-19 18:03:00,47
2012-01-20 07:38:00,99
2012-01-20 08:09:00,72
2012-01-20 09:20:00,72
2012-01-20 09:22:00,72
2012-01-20 09:24:00,72
2012-01-20 12:37:00,100
2012-01-20 12:44:00,100
2012-01-20 12:45:00,99
2012-01-20 12:54:00,99
2012-01-20 12:59:00,99
2012-01-20 13:11:00,99
2012-01-20 13:12:00,98
2012-01-20 14:07:00,98
2012-01-20 14:27:00,76
2012-01-20 14:38:00,76
2012-01-20 14:40:00,76
2012-01-20 14:42:00,76
2012-01-20 14:46:00,73
2012-01-20 14:48:00,72
2012-01-20 14:55:00,69
2012-01-20 23:21:00,47
2012-01-21 03:41:00,100
2012-01-21 23:13:00,69
2012-01-22 02:17:00,100
2012-01-22 10:53:00,99
2012-01-22 11:30:00,72
2012-01-22 13:54:00,72
2012-01-22 13:59:00,70
2012-01-22 14:01:00,70
2012-01-22 14:02:00,69
2012-01-22 14:14:00,69
2012-01-22 14:20:00,66
2012-01-22 14:41:00,66
2012-01-22 14:47:00,62
2012-01-22 14:53:00,62
2012-01-22 14:58:00,60
2012-01-22 16:59:00,60
2012-01-22 17:07:00,59
2012-01-22 17:17:00,59
2012-01-22 17:18:00,59
2012-01-23 07:44:00,100
2012-01-23 08:17:00,80
2012-01-23 16:21:00,80
2012-01-23 16:42:00,71
2012-01-23 16:59:00,71
2012-01-23 17:15:00,55
2012-01-23 17:34:00,55
2012-01-23 17:40:00,54
2012-01-23 17:50:00,54
2012-01-23 17:56:00,52
2012-01-23 18:21:00,52
2012-01-23 18:28:00,50
2012-01-23 18:43:00,50
2012-01-23 18:47:00,48
2012-01-23 18:56:00,48
2012-01-23 19:01:00,46
2012-01-23 21:41:00,59
2012-01-24 01:32:00,100
2012-01-24 07:43:00,100
2012-01-24 08:12:00,80
2012-01-24 14:15:00,80
2012-01-24 14:43:00,60
2012-01-24 14:47:00,60
2012-01-24 15:05:00,56
2012-01-24 15:51:00,56
2012-01-24 16:00:00,50
2012-01-24 16:35:00,50
