Date,State of charge
2012-02-14 10:34:00,83
2012-02-14 10:34:00,84
2012-02-14 12:48:00,83
2012-02-14 13:08:00,70
2012-02-14 14:27:00,70
2012-02-14 14:37:00,58
2012-02-14 14:41:00,58
2012-02-14 14:42:00,58
2012-02-14 15:13:00,58
2012-02-14 15:18:00,59
2012-02-14 15:21:00,59
2012-02-14 15:27:00,60
2012-02-14 15:27:00,60
2012-02-14 20:07:00,100
2012-02-15 07:03:00,100
2012-02-15 07:04:00,99
2012-02-20 11:55:00,99
2012-02-20 12:03:00,93
2012-02-20 17:27:00,93
2012-02-20 17:41:00,85
2012-02-20 17:43:00,85
2012-02-20 17:46:00,85
2012-02-20 17:51:00,85
2012-02-20 17:52:00,85
2012-02-20 18:04:00,85
2012-02-20 18:50:00,54
2012-02-20 22:24:00,54
2012-02-20 22:48:00,36
2012-02-21 07:57:00,99
2012-02-21 08:22:00,71
2012-02-21 08:32:00,71
2012-02-21 08:39:00,68
2012-02-21 10:14:00,68
2012-02-21 10:19:00,64
2012-02-21 16:43:00,64
2012-02-21 17:13:00,37
2012-02-21 17:21:00,37
2012-02-21 17:29:00,32
2012-02-21 17:29:00,32
2012-02-21 17:51:00,34
2012-02-21 17:52:00,34
2012-02-21 18:17:00,41
2012-02-21 18:18:00,41
2012-02-21 18:28:00,38
2012-02-21 18:28:00,38
2012-02-21 18:28:00,38
2012-02-21 18:29:00,38
2012-02-21 18:50:00,44
2012-02-21 18:51:00,44
2012-02-21 18:58:00,39
2012-02-21 19:03:00,39
2012-02-21 19:11:00,35
2012-02-21 19:21:00,34
2012-02-21 19:56:00,19
2012-02-21 19:56:00,19
2012-02-21 19:56:00,19
2012-02-21 22:50:00,36
2012-02-22 03:41:00,100
2012-02-22 08:17:00,99
2012-02-22 08:47:00,78
2012-02-22 09:53:00,77
2012-02-22 10:04:00,71
2012-02-22 11:08:00,71
2012-02-22 11:19:00,64
2012-02-22 16:53:00,63
2012-02-22 17:23:00,43
2012-02-22 19:57:00,19
2012-02-23 01:46:00,99
2012-02-23 08:29:00,100
2012-02-23 09:19:00,76
2012-02-23 10:32:00,76
2012-02-23 10:52:00,41
2012-02-23 13:37:00,41
2012-02-23 13:45:00,39
2012-02-23 16:51:00,37
2012-02-23 17:09:00,19
2012-02-23 17:22:00,18
2012-02-23 17:23:00,18
2012-02-23 22:10:00,43
2012-02-24 00:18:00,24
2012-02-24 00:29:00,16
2012-02-24 02:33:00,100
2012-02-24 08:12:00,99
2012-02-24 08:40:00,78
2012-02-24 12:25:00,78
2012-02-24 12:31:00,74
2012-02-24 12:36:00,74
2012-02-24 12:43:00,70
2012-02-24 12:44:00,70
2012-02-24 12:47:00,69
2012-02-24 15:54:00,69
2012-02-24 16:11:00,52
2012-02-24 17:50:00,52
2012-02-24 17:50:00,52
2012-02-24 17:51:00,52
2012-02-24 17:52:00,52
2012-02-24 17:52:00,52
2012-02-24 17:54:00,52
2012-02-24 17:54:00,52
2012-02-24 18:19:00,59
2012-02-24 18:21:00,59
2012-02-24 18:34:00,49
2012-02-24 20:10:00,49
2012-02-24 20:28:00,34
2012-02-24 20:34:00,34
2012-02-24 20:49:00,24
2012-02-24 22:10:00,18
2012-02-25 00:31:00,17
2012-02-25 04:07:00,99
2012-02-25 06:16:00,100
2012-02-25 10:38:00,100
2012-02-25 10:38:00,100
2012-02-25 12:56:00,99
2012-02-25 12:57:00,99
2012-02-25 13:02:00,99
2012-02-25 13:04:00,99
2012-03-04 09:09:00,99
2012-03-04 09:12:00,97
2012-03-04 09:19:00,97
2012-03-04 09:22:00,94
2012-03-04 12:15:00,92
2012-03-04 13:14:00,99
2012-03-04 16:22:00,98
2012-03-04 16:23:00,98
2012-03-04 17:05:00,98
2012-03-04 17:07:00,96
2012-03-04 17:14:00,96
2012-03-04 17:19:00,93
2012-03-05 08:12:00,93
2012-03-05 08:32:00,68
2012-03-05 12:38:00,68
2012-03-05 12:55:00,47
2012-03-05 14:49:00,47
2012-03-05 15:05:00,38
2012-03-05 15:53:00,38
2012-03-05 15:55:00,37
2012-03-05 18:07:00,37
2012-03-05 18:10:00,35
2012-03-05 19:25:00,35
2012-03-05 19:35:00,30
2012-03-05 20:42:00,30
2012-03-05 20:47:00,25
2012-03-05 22:22:00,25
2012-03-05 22:27:00,25
2012-03-06 08:10:00,99
2012-03-06 08:32:00,75
2012-03-06 16:43:00,75
2012-03-06 16:46:00,71
2012-03-06 17:27:00,71
2012-03-06 17:36:00,63
2012-03-06 17:45:00,63
2012-03-06 18:04:00,48
2012-03-06 18:57:00,48
2012-03-06 19:03:00,46
2012-03-06 19:33:00,45
2012-03-06 19:37:00,44
2012-03-06 21:22:00,44
2012-03-06 21:25:00,42
2012-03-06 21:32:00,41
2012-03-06 21:37:00,38
2012-03-06 22:28:00,25
2012-03-06 23:50:00,38
2012-03-06 23:55:00,36
2012-03-07 04:03:00,100
2012-03-07 08:29:00,100
2012-03-07 08:31:00,97
2012-03-07 08:52:00,97
2012-03-07 08:57:00,94
2012-03-07 09:27:00,94
2012-03-07 09:30:00,93
2012-03-07 09:48:00,93
2012-03-07 10:00:00,85
2012-03-07 10:37:00,85
2012-03-07 10:43:00,84
2012-03-07 11:05:00,84
2012-03-07 11:21:00,65
2012-03-07 11:29:00,65
2012-03-07 11:29:00,65
2012-03-07 12:04:00,65
2012-03-07 12:08:00,66
2012-03-07 12:09:00,66
2012-03-07 14:31:00,90
2012-03-07 14:34:00,90
