Date,State of charge
2012-01-01 16:54:00,75
2012-01-01 17:03:00,70
2012-01-01 17:06:00,70
2012-01-01 19:52:00,100
2012-01-02 07:47:00,100
2012-01-02 07:58:00,95
2012-01-02 12:02:00,95
2012-01-02 12:07:00,91
2012-01-02 12:30:00,91
2012-01-02 12:35:00,87
2012-01-02 16:49:00,87
2012-01-02 16:57:00,82
2012-01-02 16:57:00,82
2012-01-02 18:10:00,96
2012-01-02 18:14:00,96
2012-01-02 18:15:00,95
2012-01-02 18:21:00,95
2012-01-02 18:27:00,90
2012-01-02 18:29:00,90
2012-01-02 18:32:00,89
2012-01-02 18:37:00,89
2012-01-02 18:41:00,87
2012-01-02 18:43:00,87
2012-01-02 18:44:00,86
2012-01-02 22:13:00,86
2012-01-02 22:15:00,86
2012-01-02 22:15:00,86
2012-01-02 23:44:00,100
2012-01-03 10:15:00,100
2012-01-03 10:20:00,95
2012-01-03 10:35:00,95
2012-01-03 10:39:00,92
2012-01-03 16:12:00,92
2012-01-03 16:17:00,88
2012-01-04 11:44:00,84
2012-01-04 11:48:00,80
2012-01-04 12:44:00,80
2012-01-04 12:47:00,77
2012-01-04 16:54:00,76
2012-01-04 16:59:00,71
2012-01-04 17:16:00,71
2012-01-04 17:22:00,68
2012-01-05 08:21:00,100
2012-01-05 08:28:00,95
2012-01-05 11:51:00,95
2012-01-05 11:57:00,90
2012-01-05 12:23:00,90
2012-01-05 12:28:00,86
2012-01-05 16:12:00,86
2012-01-05 16:20:00,81
2012-01-05 16:44:00,81
2012-01-05 16:47:00,78
2012-01-05 22:05:00,68
2012-01-06 01:05:00,100
2012-01-06 07:39:00,78
2012-01-06 07:57:00,64
2012-01-06 10:28:00,64
2012-01-06 10:33:00,60
2012-01-06 10:39:00,60
2012-01-06 10:42:00,58
2012-01-06 12:18:00,58
2012-01-06 12:22:00,54
2012-01-06 12:36:00,54
2012-01-06 12:49:00,44
2012-01-06 13:15:00,44
2012-01-06 13:29:00,32
2012-01-06 13:31:00,32
2012-01-06 19:44:00,100
2012-01-06 19:46:00,100
2012-01-06 19:49:00,98
2012-01-06 23:42:00,98
2012-01-06 23:48:00,93
2012-01-07 12:27:00,93
2012-01-07 12:28:00,92
2012-01-07 12:28:00,92
2012-01-07 12:33:00,89
2012-01-07 12:33:00,89
2012-01-07 12:51:00,69
2012-01-07 12:53:00,69
2012-01-07 13:00:00,64
2012-01-07 13:09:00,64
2012-01-07 13:36:00,34
2012-01-07 13:36:00,34
2012-01-07 18:40:00,93
2012-01-07 18:42:00,93
2012-01-07 18:47:00,90
2012-01-07 18:50:00,90
2012-01-07 18:55:00,87
2012-01-07 20:54:00,87
2012-01-07 20:59:00,83
2012-01-08 08:41:00,83
2012-01-08 08:46:00,78
2012-01-08 13:01:00,77
2012-01-08 13:03:00,76
2012-01-08 13:04:00,76
2012-01-08 15:27:00,99
2012-01-08 15:29:00,99
2012-01-08 15:34:00,96
2012-01-09 00:08:00,93
2012-01-09 01:12:00,100
2012-01-09 07:48:00,96
2012-01-09 07:53:00,92
2012-01-09 11:19:00,92
2012-01-09 11:23:00,88
2012-01-09 11:33:00,88
2012-01-09 11:40:00,82
2012-01-09 12:37:00,82
2012-01-09 12:48:00,76
2012-01-09 12:48:00,76
2012-01-09 14:58:00,98
2012-01-09 18:13:00,98
2012-01-09 18:16:00,94
2012-01-09 18:25:00,94
2012-01-09 18:30:00,91
2012-01-10 07:48:00,90
2012-01-10 08:00:00,79
2012-01-10 10:11:00,79
2012-01-10 10:15:00,75
2012-01-10 10:15:00,75
2012-01-10 12:33:00,99
2012-01-11 07:36:00,99
2012-01-11 07:40:00,96
2012-01-11 17:32:00,95
2012-01-11 17:51:00,79
2012-01-11 17:52:00,79
2012-01-11 19:44:00,99
2012-01-12 07:59:00,99
2012-01-12 08:03:00,95
2012-01-12 10:05:00,94
2012-01-12 10:08:00,91
2012-01-12 13:00:00,91
2012-01-12 14:03:00,99
2012-01-12 17:36:00,99
2012-01-12 18:01:00,69
2012-01-12 21:53:00,69
2012-01-12 22:20:00,44
2012-01-13 07:39:00,44
2012-01-13 07:44:00,40
2012-01-13 07:44:00,40
2012-01-13 12:15:00,95
2012-01-13 12:16:00,95
2012-01-13 12:22:00,91
2012-01-13 12:34:00,91
2012-01-13 12:40:00,86
2012-01-13 13:10:00,86
2012-01-13 13:17:00,81
2012-01-13 13:20:00,81
2012-01-13 13:24:00,78
2012-01-13 16:12:00,78
